epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,val_gate_mean,val_gate_std,val_gate_min,val_gate_max
1,0.000299636,7.062552453,0.00239952,0.014197161,0.024795041,6.522468298,0.001581395,0.008891473,0.014651163,0.502077969,0.103525475,0.115100712,0.851433039
2,0.000298545,6.307711384,0.022195561,0.079984003,0.129174165,6.043180964,0.01403876,0.058139535,0.097906977,0.5127684,0.063495001,0.2418423,0.805105329
3,0.000296733,5.722186412,0.070385923,0.189562088,0.266346731,5.598704464,0.059844961,0.12248062,0.153100775,0.525150915,0.063672218,0.208742127,0.831962824
4,0.000294209,5.156473665,0.135772845,0.304139172,0.409918016,5.21446765,0.090775194,0.210542636,0.286821705,0.535458583,0.069576844,0.191660166,0.874228954
5,0.000290984,4.631480907,0.185762847,0.420115977,0.530093981,4.871380781,0.153953488,0.297054264,0.375658915,0.544148416,0.078165589,0.15449737,0.905305505
6,0.000287075,4.180751465,0.23995201,0.5004999,0.629674065,4.564218386,0.199457364,0.35124031,0.414496124,0.550251867,0.086156266,0.169598714,0.922292292
7,0.000282501,3.74490612,0.301539692,0.593881224,0.710257948,4.321955708,0.26503876,0.421550388,0.504651163,0.555914371,0.094080032,0.145616725,0.944500029
8,0.000277283,3.38651665,0.352329534,0.652869426,0.777644471,4.111955319,0.29751938,0.484186047,0.587364341,0.56477941,0.109317827,0.131732523,0.979559183
9,0.000271448,3.060322879,0.408118376,0.706458708,0.813437313,3.973507733,0.334573643,0.557364341,0.620542636,0.560480709,0.111208934,0.069116779,0.971813321
10,0.000265024,2.78377422,0.446710658,0.75884823,0.859828034,3.834385556,0.347751938,0.594418605,0.668449612,0.554372914,0.109707771,0.089162111,0.985775232
11,0.000258041,2.508183143,0.49830034,0.807038592,0.890621876,3.760028262,0.35627907,0.617674419,0.69627907,0.554958467,0.119782385,0.079886548,0.983720899
12,0.000250535,2.27323736,0.544491102,0.836632673,0.907218556,3.688467795,0.367131783,0.622325581,0.711007752,0.554210798,0.119447206,0.041364595,0.987441182
13,0.000242541,2.112804199,0.564087183,0.851629674,0.923415317,3.626056544,0.358604651,0.631627907,0.736434109,0.553848075,0.126513547,0.054787111,0.991033375
14,0.000234099,1.888528664,0.615876825,0.885222955,0.939612078,3.578677757,0.371007752,0.640155039,0.754263566,0.545631651,0.124781504,0.062791511,0.989567578
15,0.00022525,1.76807543,0.627874425,0.892621476,0.949210158,3.548793823,0.381085271,0.654108527,0.758914729,0.540913919,0.128515096,0.037959483,0.99439466
16,0.000216036,1.608215196,0.661067786,0.912617477,0.962207558,3.54499624,0.382635659,0.661860465,0.765891473,0.535762068,0.128398759,0.035202593,0.989376903
17,0.000206504,1.489968559,0.686462707,0.925814837,0.966006799,3.523403219,0.381860465,0.664186047,0.764341085,0.535266894,0.130333313,0.032383256,0.993455827
18,0.000196698,1.403892731,0.700259948,0.931613677,0.967006599,3.507660198,0.390387597,0.667286822,0.768992248,0.532467922,0.133884753,0.022257736,0.991497695
19,0.000186667,1.331183923,0.713057389,0.942211558,0.973205359,3.526626398,0.398914729,0.670387597,0.769767442,0.531272444,0.136700513,0.022664648,0.993074536
20,0.00017646,1.217010109,0.74205159,0.949210158,0.977404519,3.560556834,0.400465116,0.663410853,0.772868217,0.526673038,0.138384225,0.036173828,0.993307829
21,0.000166127,1.147994862,0.75724855,0.959808038,0.983803239,3.56537642,0.384186047,0.671162791,0.779844961,0.528482081,0.139672117,0.036929063,0.993589401
22,0.000155717,1.077357417,0.769446111,0.956208758,0.981603679,3.570782707,0.389612403,0.674263566,0.782945736,0.525111159,0.143077869,0.029401384,0.994253099
23,0.000145283,1.010743081,0.789842032,0.966806639,0.9890022,3.568950557,0.393488372,0.684341085,0.795348837,0.519048584,0.140240203,0.028921872,0.992919862
24,0.000134873,0.968477723,0.789042192,0.969006199,0.98920216,3.593578367,0.389612403,0.675813953,0.786046512,0.51382952,0.138641638,0.02066585,0.992186666
25,0.00012454,0.917428399,0.798840232,0.972405519,0.98920216,3.609077093,0.389612403,0.679689922,0.789922481,0.513810208,0.142469602,0.021801375,0.993515253
26,0.000114333,0.85619954,0.816436713,0.978404319,0.99340132,3.610798723,0.39503876,0.685891473,0.77751938,0.511643158,0.143364871,0.022103706,0.994100392
27,0.000104302,0.841765874,0.818036393,0.975404919,0.98940212,3.616321402,0.406666667,0.690542636,0.785271318,0.5102914,0.143560529,0.018614797,0.992837965
28,9.45E-05,0.797874667,0.833033393,0.980003999,0.99340132,3.62843958,0.402790698,0.692868217,0.787596899,0.510762555,0.144382751,0.015689284,0.993802547
29,8.50E-05,0.772620713,0.840831834,0.982003599,0.99320136,3.625591326,0.402790698,0.685116279,0.794573643,0.50715135,0.148117619,0.016765522,0.992662668
30,7.58E-05,0.729006425,0.844431114,0.983803239,0.99380124,3.628148677,0.405116279,0.691317829,0.795348837,0.50460203,0.146232874,0.020047517,0.993386209
31,6.69E-05,0.700339223,0.853829234,0.983403319,0.99320136,3.647962198,0.405891473,0.689767442,0.789147287,0.502427403,0.14794825,0.017926527,0.994109273
32,5.85E-05,0.690014523,0.858628274,0.982803439,0.99440112,3.647549458,0.405891473,0.699069767,0.793023256,0.501572235,0.146822803,0.017788328,0.993130028
33,5.05E-05,0.684189392,0.860427914,0.981203759,0.99320136,3.649957099,0.402015504,0.690542636,0.792248062,0.503199391,0.148558479,0.016765544,0.992832661
34,4.30E-05,0.652712064,0.870225955,0.984203159,0.99340132,3.652717767,0.402790698,0.692868217,0.795348837,0.500742488,0.148295377,0.016760373,0.992779672
35,3.60E-05,0.626110907,0.869026195,0.987202559,0.99540092,3.657927969,0.408992248,0.691317829,0.797674419,0.499528232,0.149974042,0.015238758,0.994015932
36,2.96E-05,0.597691667,0.878824235,0.98940212,0.99620076,3.669494976,0.408217054,0.690542636,0.795348837,0.497360169,0.150092238,0.014600254,0.993299842
37,2.37E-05,0.611487723,0.872225555,0.9890022,0.99660068,3.674809164,0.409767442,0.692093023,0.796899225,0.497500253,0.149608642,0.015898906,0.993073046
38,1.85E-05,0.609370334,0.875024995,0.986402719,0.9960008,3.677604938,0.410542636,0.693643411,0.797674419,0.497034879,0.150632803,0.015913701,0.993834019
