epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,val_gate_mean,val_gate_std,val_gate_min,val_gate_max
1,0.000499808,5.760050382,0.014232999,0.054823405,0.094886663,5.046362772,0.008748879,0.041973094,0.067174888,0.520037343,0.098633358,0.10332451,0.889611602
2,0.000499231,4.755257665,0.104902478,0.249868213,0.351080654,4.384911924,0.068403588,0.156860987,0.291390135,0.564211049,0.095936257,0.22159335,0.897006571
3,0.000498271,3.998332528,0.220875066,0.457564576,0.580917238,3.836927114,0.164215247,0.362242153,0.494529148,0.608074051,0.101143543,0.236992061,0.935851634
4,0.000496928,3.307185284,0.345282024,0.658935161,0.761729046,3.399735399,0.291121076,0.481928251,0.695426009,0.614747242,0.089653506,0.258137912,0.906903982
5,0.000495206,2.832978449,0.427517132,0.740115973,0.847127043,3.123773251,0.335964126,0.534529149,0.777847534,0.620437222,0.092025319,0.256435186,0.931959867
6,0.000493106,2.333468126,0.521349499,0.838165525,0.921454929,2.854683069,0.389775785,0.583856503,0.833542601,0.621585169,0.093652024,0.233928427,0.934807777
7,0.000490633,1.982001248,0.610964681,0.881918819,0.940432261,2.695204179,0.446502242,0.65955157,0.855964126,0.623789144,0.099678699,0.223407388,0.96801132
8,0.000487789,1.694744921,0.651027939,0.914602003,0.959936742,2.582404266,0.480134529,0.694035875,0.862690583,0.622318493,0.099471656,0.182404533,0.966476262
9,0.000484579,1.444521623,0.691091197,0.942540854,0.978386927,2.537047133,0.518923767,0.720762332,0.873901346,0.628624504,0.104184132,0.193591297,0.957879424
10,0.000481008,1.294962964,0.740115973,0.948339483,0.97733263,2.436757198,0.527892377,0.741973095,0.889596413,0.630051088,0.10618244,0.15382342,0.95914638
11,0.000477082,1.089884977,0.781760675,0.963099631,0.989984186,2.425245459,0.545829596,0.778699552,0.871659193,0.618482026,0.110272608,0.104112208,0.965487838
12,0.000472806,0.949602034,0.801265156,0.976805482,0.992619926,2.423613471,0.545829596,0.784215247,0.880627803,0.614652757,0.108408069,0.111611761,0.968253016
13,0.000468188,0.879719275,0.816025303,0.96889826,0.988929889,2.424226836,0.548071749,0.790941704,0.871659193,0.607198397,0.106925748,0.106548816,0.961067021
14,0.000463234,0.772486833,0.837638376,0.98313126,0.993674222,2.380435706,0.577219731,0.795426009,0.882869955,0.615403306,0.11352015,0.090210266,0.976638734
15,0.000457952,0.681195846,0.846072746,0.988402741,0.994728519,2.400418252,0.581704036,0.790941704,0.889596413,0.617532616,0.115329409,0.073551282,0.973934293
16,0.00045235,0.617968771,0.86768582,0.984185556,0.994728519,2.403483007,0.572735426,0.797668162,0.894080718,0.618440224,0.120655067,0.070196725,0.978178322
17,0.000446437,0.558309277,0.881918819,0.989984186,0.997364259,2.467434186,0.579461884,0.79542601,0.900807175,0.62282898,0.127805969,0.034572303,0.977141678
