epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,,
1,9.99E-05,4.762050363,0.009358289,0.048128342,0.088235294,4.57866951,0.006363637,0.020909091,0.061818182,,
2,9.96E-05,4.576720212,0.028074866,0.089572193,0.153743316,4.538825755,0.016363636,0.051212121,0.107878788,,
3,9.92E-05,4.490082929,0.03342246,0.129679144,0.22459893,4.513754729,0.026363636,0.075454546,0.144242424,,
4,9.86E-05,4.404970546,0.060160428,0.165775401,0.276737968,4.492814862,0.058484848,0.103636364,0.176363637,,
5,9.78E-05,4.313003948,0.060160428,0.196524064,0.340909091,4.471839492,0.054545455,0.153939394,0.254848485,,
6,9.68E-05,4.230779474,0.081550802,0.243315508,0.364973262,4.448082386,0.072727273,0.176060606,0.293030303,,
7,9.57E-05,4.133371282,0.132352941,0.323529412,0.457219251,4.423839968,0.102727273,0.216060606,0.356969697,,
8,9.44E-05,4.051708201,0.167112299,0.363636364,0.49197861,4.398934665,0.136969697,0.26030303,0.381212121,,
9,9.30E-05,3.977109532,0.173796791,0.390374332,0.553475936,4.367554445,0.119090909,0.302424243,0.43939394,,
10,9.14E-05,3.887150892,0.199197861,0.477272727,0.606951872,4.352687021,0.156969697,0.346363637,0.453333334,,
11,8.97E-05,3.825632677,0.205882353,0.489304813,0.636363636,4.324786938,0.171212121,0.378484849,0.49969697,,
12,8.78E-05,3.738303445,0.244652406,0.552139037,0.67513369,4.300106537,0.163333333,0.420606061,0.53969697,,
13,8.58E-05,3.639120989,0.268716578,0.597593583,0.717914439,4.279545455,0.197272727,0.458787879,0.551818183,,
14,8.37E-05,3.571355646,0.27540107,0.610962567,0.763368984,4.251988638,0.217272727,0.474848485,0.591818183,,
15,8.15E-05,3.496652532,0.326203209,0.647058824,0.784759358,4.230634471,0.243333333,0.482727273,0.607878789,,
16,7.91E-05,3.403090533,0.35026738,0.673796791,0.807486631,4.204841384,0.249393939,0.537272728,0.607878788,,
17,7.67E-05,3.335801068,0.381016043,0.711229947,0.842245989,4.18452888,0.255454546,0.531212121,0.621818182,,
18,7.42E-05,3.283003374,0.381016043,0.692513369,0.82486631,4.159351329,0.293636364,0.549090909,0.646060606,,
19,7.16E-05,3.21034869,0.39973262,0.755347594,0.864973262,4.140181109,0.281515152,0.54909091,0.658181819,,
20,6.89E-05,3.124037799,0.441176471,0.75802139,0.874331551,4.117335463,0.307575758,0.587272728,0.694242425,,
21,6.62E-05,3.040607636,0.477272727,0.799465241,0.89171123,4.102752132,0.307575758,0.581212122,0.682121212,,
22,6.34E-05,2.97345395,0.478609626,0.794117647,0.893048128,4.073638734,0.313636364,0.593333334,0.718484849,,
23,6.06E-05,2.921665457,0.486631016,0.82486631,0.921122995,4.054947918,0.31969697,0.611515152,0.706363637,,
24,5.78E-05,2.860029741,0.514705882,0.827540107,0.923796791,4.040601326,0.31969697,0.605454546,0.718484849,,
25,5.50E-05,2.787111333,0.561497326,0.840909091,0.934491979,4.020063918,0.31969697,0.611515152,0.742727273,,
26,5.22E-05,2.750279391,0.518716578,0.856951872,0.937165775,4.002479875,0.31969697,0.635757576,0.718484848,,
27,4.94E-05,2.691655286,0.557486631,0.864973262,0.938502674,3.985079312,0.325757576,0.62969697,0.724545455,,
28,4.66E-05,2.655046922,0.564171123,0.862299465,0.939839572,3.9693241,0.31969697,0.623636364,0.712424243,,
29,4.38E-05,2.59868275,0.581550802,0.893048128,0.95855615,3.954237689,0.351818182,0.641818182,0.724545455,,
30,4.11E-05,2.555787112,0.592245989,0.89171123,0.965240642,3.943826944,0.345757576,0.623636364,0.748484848,,
31,3.84E-05,2.492504099,0.648395722,0.895721925,0.950534759,3.928551138,0.357878788,0.641818182,0.754545455,,
32,3.58E-05,2.461615578,0.647058824,0.898395722,0.959893048,3.91870857,0.357878788,0.62969697,0.754545455,,
33,3.33E-05,2.432024951,0.628342246,0.89171123,0.951871658,3.904509942,0.357878788,0.62969697,0.748484848,,
34,3.09E-05,2.379454587,0.643048128,0.911764706,0.971925134,3.89070786,0.351818182,0.635757576,0.754545455,,
35,2.85E-05,2.351083684,0.660427807,0.919786096,0.973262032,3.878995028,0.351818182,0.623636364,0.754545455,,
36,2.63E-05,2.339722985,0.669786096,0.915775401,0.96657754,3.872638494,0.357878788,0.641818182,0.772727273,,
37,2.42E-05,2.297343045,0.660427807,0.922459893,0.970588235,3.864547821,0.351818182,0.647878788,0.760606061,,
38,2.22E-05,2.27013181,0.656417112,0.92513369,0.981283422,3.855593041,0.351818182,0.635757576,0.760606061,,
39,2.03E-05,2.252750336,0.697860963,0.919786096,0.963903743,3.850023673,0.357878788,0.635757576,0.766666667,,
40,1.86E-05,2.234621425,0.691176471,0.931818182,0.97459893,3.845401278,0.37,0.62969697,0.754545455,,
41,1.70E-05,2.213659603,0.696524064,0.929144385,0.977272727,3.836541195,0.351818182,0.635757576,0.760606061,,
42,1.56E-05,2.185158306,0.692513369,0.934491979,0.977272727,3.832729637,0.37,0.62969697,0.760606061,,
43,1.43E-05,2.166218477,0.688502674,0.937165775,0.975935829,3.829758523,0.363939394,0.62969697,0.754545455,,
44,1.32E-05,2.138387099,0.704545455,0.939839572,0.978609626,3.825224907,0.363939394,0.62969697,0.748484848,,
45,1.22E-05,2.149372121,0.699197861,0.942513369,0.987967914,3.821579072,0.376060606,0.62969697,0.760606061,,
46,1.14E-05,2.118908887,0.717914439,0.938502674,0.981283422,3.817785276,0.376060606,0.62969697,0.760606061,,
47,1.08E-05,2.101724064,0.70855615,0.942513369,0.982620321,3.814044744,0.37,0.635757576,0.754545455,,
48,1.04E-05,2.081256397,0.72459893,0.946524064,0.985294118,3.810014203,0.37,0.62969697,0.754545455,,
49,1.01E-05,2.089881122,0.717914439,0.941176471,0.981283422,3.807534331,0.37,0.62969697,0.760606061,,
50,1.00E-05,2.100987235,0.703208556,0.939839572,0.982620321,3.804148914,0.37,0.62969697,0.754545455,,
