epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,
1,9.99E-05,7.058895354,0.00079984,0.00319936,0.00559888,6.938023311,0.000300775,0.001527132,0.003178295,
2,9.96E-05,6.818410097,0.00459908,0.018596281,0.031193761,6.916327782,0.001677519,0.012806202,0.014883721,
3,9.91E-05,6.616057251,0.016396721,0.046990602,0.079584083,6.891998465,0.008776744,0.027906977,0.04875969,
4,9.84E-05,6.40447402,0.028994201,0.094381124,0.140571886,6.844751921,0.014728682,0.069534884,0.083488372,
5,9.76E-05,6.177075307,0.052789442,0.142971406,0.209558088,6.804049517,0.027054264,0.109534884,0.144341085,
6,9.65E-05,5.943734352,0.072585483,0.188562288,0.272145571,6.739129068,0.040155039,0.158837209,0.221317829,
7,9.53E-05,5.693780866,0.095780844,0.24515097,0.340731854,6.669368118,0.064806202,0.198139535,0.287596899,
8,9.39E-05,5.442232615,0.129574085,0.302939412,0.415516897,6.58547738,0.104806202,0.25744186,0.322325581,
9,9.23E-05,5.188342131,0.168966207,0.370525895,0.48910218,6.501770423,0.144883721,0.295193798,0.387751938,
10,9.05E-05,4.929729513,0.202359528,0.433513297,0.561487702,6.434771759,0.17875969,0.301395349,0.459379845,
11,8.86E-05,4.689293685,0.23815237,0.4985003,0.623875225,6.360774712,0.190310078,0.358372093,0.481705426,
12,8.66E-05,4.459447923,0.273745251,0.557688462,0.676864627,6.290572107,0.203410853,0.387674419,0.514108527,
13,8.44E-05,4.238726598,0.321135773,0.589682064,0.718456309,6.239211303,0.215186047,0.394651163,0.523410853,
14,8.21E-05,4.022516688,0.353329334,0.645270946,0.763047391,6.187042945,0.230387597,0.398527132,0.529612403,
15,7.96E-05,3.832257414,0.396120776,0.683863227,0.800439912,6.14155321,0.230387597,0.407054264,0.531937984,
16,7.70E-05,3.648532741,0.440511898,0.735252949,0.831233753,6.107233603,0.23503876,0.407829457,0.539689922,
17,7.43E-05,3.470083139,0.48870226,0.763047391,0.854429114,6.06789362,0.234263566,0.411705426,0.539689922,
18,7.16E-05,3.300114557,0.5074985,0.795240952,0.878224355,6.033572799,0.238139535,0.416356589,0.550542636,
19,6.87E-05,3.130900374,0.547890422,0.823635273,0.900019996,6.001968898,0.240465116,0.421782946,0.552868217,
20,6.58E-05,2.988674132,0.576884623,0.838632274,0.907018596,5.979780409,0.244341085,0.416356589,0.558294574,
21,6.28E-05,2.841761772,0.613477305,0.870425915,0.927614477,5.962343764,0.24124031,0.426434109,0.559844961,
22,5.98E-05,2.721819603,0.631473705,0.883423315,0.938812238,5.94223748,0.242790698,0.431085271,0.569147287,
23,5.67E-05,2.608261605,0.658868226,0.901019796,0.944211158,5.920938882,0.246666667,0.437286822,0.564496124,
24,5.36E-05,2.484038034,0.682863427,0.912417516,0.955208958,5.921343141,0.244341085,0.435736434,0.569922481,
25,5.05E-05,2.374978739,0.706658668,0.921815637,0.961007798,5.903530825,0.245891473,0.438062016,0.572248062,
26,4.74E-05,2.280989271,0.724055189,0.933213357,0.972005599,5.886057638,0.248217054,0.441162791,0.570697674,
27,4.43E-05,2.192988969,0.74825035,0.942211558,0.973205359,5.875869429,0.253643411,0.441162791,0.576124031,
28,4.12E-05,2.109819993,0.765046991,0.943211358,0.974405119,5.883089679,0.253643411,0.442713178,0.57379845,
29,3.82E-05,2.02743469,0.787642472,0.954209158,0.976804639,5.878829599,0.250542636,0.445813953,0.576124031,
30,3.52E-05,1.963896733,0.795040992,0.956808638,0.979604079,5.867244438,0.254418605,0.443488372,0.577674419,
31,3.23E-05,1.900196583,0.801039792,0.962607479,0.984203159,5.865961402,0.252868217,0.443488372,0.581550388,
32,2.94E-05,1.830938903,0.817236553,0.964807039,0.982203559,5.857386038,0.256744186,0.44503876,0.58,
33,2.67E-05,1.779058467,0.824635073,0.968806239,0.985202959,5.856411524,0.256744186,0.448139535,0.585426357,
34,2.40E-05,1.72007842,0.838632274,0.971805639,0.99040192,5.85905151,0.258294574,0.45124031,0.584651163,
35,2.14E-05,1.692036906,0.840431914,0.972805439,0.98860228,5.851181329,0.252868217,0.452015504,0.583875969,
36,1.89E-05,1.644691639,0.841231754,0.976204759,0.99180164,5.85289757,0.252868217,0.446589147,0.585426357,
37,1.66E-05,1.615345564,0.854429114,0.976004799,0.99180164,5.853664148,0.254418605,0.448139535,0.586976744,
38,1.44E-05,1.575813666,0.863827235,0.979204159,0.99060188,5.849565565,0.255968992,0.448139535,0.584651163,
39,1.24E-05,1.558971334,0.862627475,0.979204159,0.99220156,5.854011085,0.253643411,0.448914729,0.584651163,
40,1.05E-05,1.533958612,0.860427914,0.981003799,0.99320136,5.847130256,0.256744186,0.448139535,0.585426357,
41,8.71E-06,1.511823619,0.870825835,0.984003199,0.99220156,5.847508518,0.254418605,0.45124031,0.58620155,
42,7.12E-06,1.493223966,0.867826435,0.981803639,0.99340132,5.848325073,0.254418605,0.449689922,0.584651163,
43,5.71E-06,1.48292082,0.876424715,0.983203359,0.99120176,5.849662458,0.252868217,0.45124031,0.583875969,
44,4.48E-06,1.468218348,0.877424515,0.983403319,0.99320136,5.847471604,0.256744186,0.449689922,0.58620155,
45,3.42E-06,1.467428689,0.874025195,0.982203559,0.99340132,5.846857795,0.255968992,0.45124031,0.583875969,
46,2.56E-06,1.43942333,0.877624475,0.983803239,0.99260148,5.846937012,0.255193798,0.450465116,0.58620155,
47,1.88E-06,1.438913523,0.878224355,0.986402719,0.99520096,5.847531998,0.256744186,0.450465116,0.586976744,
48,1.39E-06,1.424067804,0.889022196,0.984403119,0.99460108,5.847051463,0.253643411,0.448914729,0.587751938,
49,1.10E-06,1.435660386,0.884623075,0.985402919,0.99460108,5.846450707,0.255193798,0.448914729,0.590077519,
50,1.00E-06,1.417295769,0.889622076,0.986002799,0.99460108,5.847180203,0.254418605,0.448914729,0.588527132,
