epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10
1,9.99E-05,5.868876374,0.005798629,0.017923036,0.03373748,5.710506317,0.001210762,0.013290135,0.025295964
2,9.96E-05,5.648938265,0.014232999,0.038481813,0.06747496,5.694525421,0.009484305,0.02990583,0.042780269
3,9.91E-05,5.499890761,0.024248814,0.072746442,0.122298366,5.663825339,0.01793722,0.051506727,0.081928251
4,9.84E-05,5.371764839,0.04217185,0.120189773,0.189773326,5.635984566,0.029466368,0.091748879,0.149865471
5,9.76E-05,5.237111049,0.063784924,0.177121771,0.257775435,5.607888442,0.05587444,0.130717489,0.217802691
6,9.65E-05,5.088436737,0.083289404,0.226146547,0.331049025,5.566136253,0.072600897,0.175381166,0.29367713
7,9.53E-05,4.952795359,0.11544544,0.286768582,0.399578281,5.540374268,0.098116592,0.223139014,0.346950673
8,9.39E-05,4.798460397,0.149710069,0.340010543,0.472851871,5.498877596,0.121569507,0.291076233,0.397130045
9,9.23E-05,4.680375315,0.17185029,0.381655245,0.514496574,5.455620605,0.153811659,0.355560538,0.453856502
10,9.05E-05,4.530823596,0.206642066,0.437532947,0.568792831,5.424017006,0.170538117,0.391255606,0.49955157
11,8.86E-05,4.383534446,0.234580917,0.48444913,0.633104902,5.379098293,0.205022422,0.413497758,0.556278027
12,8.66E-05,4.251474365,0.251449657,0.521876647,0.664206642,5.330726038,0.229506727,0.42470852,0.614215247
13,8.44E-05,4.084174103,0.309435952,0.593568793,0.72113864,5.288227389,0.243991031,0.435919283,0.611973094
14,8.21E-05,3.941951052,0.322614655,0.630469162,0.755930416,5.233791672,0.255201794,0.438161435,0.627668162
15,7.96E-05,3.802886703,0.368476542,0.662625198,0.779652082,5.186449992,0.246233184,0.45161435,0.632152467
16,7.70E-05,3.659825433,0.397469689,0.691618345,0.813389562,5.141824904,0.257443946,0.456098655,0.643363229
17,7.43E-05,3.529289331,0.423299947,0.723774381,0.834475488,5.097113069,0.264170404,0.453856503,0.643363229
18,7.16E-05,3.402971461,0.451238798,0.748023195,0.853979968,5.066925904,0.259686099,0.467309417,0.652331839
19,6.87E-05,3.27511814,0.465998946,0.767527675,0.866104375,5.013075314,0.275381166,0.476278027,0.661300449
20,6.58E-05,3.148941893,0.505535055,0.790195045,0.887717449,4.983090528,0.275381166,0.48748879,0.679237669
21,6.28E-05,3.060199816,0.528729573,0.809172377,0.896151819,4.948156948,0.277623318,0.494215247,0.665784754
22,5.98E-05,2.936293961,0.55772272,0.830785451,0.90985767,4.922093567,0.282107623,0.489730942,0.679237669
23,5.67E-05,2.83970544,0.575118608,0.852925672,0.919873484,4.887761291,0.286591928,0.494215247,0.676995516
24,5.36E-05,2.742981086,0.593041645,0.85345282,0.92672641,4.867085603,0.286591928,0.503183857,0.692690583
25,5.05E-05,2.664012142,0.60832894,0.860832894,0.930416447,4.841773341,0.293318386,0.498699552,0.701659193
26,4.74E-05,2.588417867,0.638903532,0.886663152,0.940432261,4.824861844,0.293318386,0.489730942,0.694932736
27,4.43E-05,2.50818451,0.637849236,0.885081708,0.952556668,4.808800899,0.291076233,0.512152467,0.694932736
28,4.12E-05,2.445579348,0.663152346,0.891934634,0.946758039,4.795693828,0.291076233,0.516636771,0.699417041
29,3.82E-05,2.391017724,0.668950975,0.910384818,0.962572483,4.783504329,0.293318386,0.514394619,0.703901346
30,3.52E-05,2.320237021,0.68740116,0.908803374,0.953610965,4.768111833,0.295560538,0.516636772,0.703901346
31,3.23E-05,2.279044896,0.692672641,0.921454929,0.96626252,4.756613626,0.295560538,0.518878924,0.699417041
32,2.94E-05,2.230250111,0.705324196,0.923036373,0.965735372,4.74008181,0.300044843,0.527847534,0.708385651
33,2.67E-05,2.170639197,0.725355825,0.929362151,0.969425409,4.730982617,0.300044843,0.527847534,0.703901346
34,2.40E-05,2.109702012,0.751713231,0.94359515,0.971534001,4.731626759,0.304529148,0.514394619,0.710627803
35,2.14E-05,2.082977842,0.743806009,0.937796521,0.969952557,4.724358182,0.297802691,0.527847534,0.706143498
36,1.89E-05,2.070063811,0.735898788,0.94095941,0.973642594,4.713697281,0.306771301,0.507668162,0.712869956
37,1.66E-05,2.032681726,0.76067475,0.950448076,0.97733263,4.714459372,0.304529148,0.518878924,0.70838565
38,1.44E-05,2.003611687,0.767527675,0.941486558,0.978386927,4.70461226,0.304529148,0.523363229,0.715112108
39,1.24E-05,1.965050607,0.785450712,0.952556668,0.979968371,4.700206804,0.304529148,0.521121076,0.719596413
40,1.05E-05,1.947709875,0.772799157,0.951502372,0.980495519,4.700708898,0.306771301,0.518878924,0.715112108
41,8.71E-06,1.938009601,0.773326305,0.950975224,0.981549815,4.69766462,0.304529148,0.525605381,0.710627803
42,7.12E-06,1.930188295,0.777016342,0.946230891,0.980495519,4.696635072,0.304529148,0.527847534,0.717354261
43,5.71E-06,1.914954477,0.787559304,0.954665261,0.979441223,4.69194568,0.304529148,0.523363229,0.717354261
44,4.48E-06,1.91080193,0.785450712,0.956246705,0.985239852,4.690174239,0.304529148,0.523363229,0.717354261
45,3.42E-06,1.893701414,0.787559304,0.955192409,0.985767001,4.689063678,0.304529148,0.525605381,0.717354261
46,2.56E-06,1.911169714,0.76910912,0.955192409,0.982604112,4.689252249,0.306771301,0.527847534,0.717354261
47,1.88E-06,1.889703176,0.779124934,0.955719557,0.984185556,4.68845776,0.306771301,0.523363229,0.719596413
48,1.39E-06,1.885013259,0.770163416,0.956246705,0.986294149,4.68703568,0.304529148,0.525605381,0.717354261
49,1.10E-06,1.89532379,0.787559304,0.956246705,0.981549815,4.686481065,0.304529148,0.525605381,0.719596413
50,1.00E-06,1.861864666,0.795993674,0.955192409,0.984712704,4.686793289,0.304529148,0.525605381,0.717354261
