epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,,,
1,0.049996192,4.725781489,0.009358289,0.045454545,0.10026738,4.556988762,0.00530303,0.018787879,0.063333333,,,
2,0.049984771,4.541517281,0.018716578,0.082887701,0.143048128,4.55516186,0.012181818,0.016666667,0.075454546,,,
3,0.049965739,4.511059254,0.017379679,0.076203209,0.152406417,4.536218978,0.009181818,0.040909091,0.069393939,,,
4,0.049939102,4.458270231,0.014705882,0.084224599,0.169786096,4.467308929,0.021121212,0.034848485,0.093636364,,,
5,0.049904869,4.39877712,0.024064171,0.094919786,0.189839572,4.447131469,0.017181818,0.046969697,0.117878788,,,
6,0.04986305,4.366021467,0.017379679,0.113636364,0.207219251,4.407429134,0.014181818,0.046969697,0.142121212,,,
7,0.049813658,4.341435993,0.024064171,0.109625668,0.209893048,4.362902179,0.018181818,0.095454545,0.16030303,,,
8,0.049756707,4.265821771,0.03342246,0.13368984,0.24197861,4.273249242,0.022242424,0.101515152,0.148181818,,,
9,0.049692215,4.182242835,0.044117647,0.153743316,0.28342246,4.263723917,0.026363636,0.08939394,0.178484849,,,
10,0.049620201,4.119340254,0.044117647,0.173796791,0.31684492,4.113384445,0.008181818,0.113636364,0.23909091,,,
11,0.049540689,4.099520344,0.037433155,0.164438503,0.315508021,4.081519997,0.050606061,0.156060606,0.263333334,,,
12,0.049453701,4.068844025,0.050802139,0.17513369,0.310160428,4.099732626,0.044545455,0.131818182,0.26939394,,,
13,0.049359264,3.979115829,0.060160428,0.217914439,0.351604278,3.95176204,0.038484848,0.168181819,0.342121213,,,
14,0.049257408,3.967418979,0.049465241,0.229946524,0.370320856,3.969445453,0.044545455,0.131818183,0.311818183,,,
15,0.049148163,3.896125028,0.048128342,0.235294118,0.401069519,3.998563394,0.032424243,0.192424243,0.287575758,,,
16,0.049031562,3.882514357,0.056149733,0.235294118,0.414438503,4.124836753,0.050606061,0.107575758,0.263333334,,,
17,0.048907641,3.828612775,0.082887701,0.276737968,0.417112299,3.893108209,0.032424243,0.186363636,0.378484849,,,
18,0.048776437,3.80049463,0.061497326,0.248663102,0.423796792,3.905073997,0.050606061,0.162121212,0.323939395,,,
19,0.048637992,3.818354612,0.07486631,0.267379679,0.443850267,3.824083965,0.060909091,0.198484849,0.342121213,,,
20,0.048492346,3.760138813,0.060160428,0.270053476,0.46657754,3.973473212,0.032727273,0.15,0.281515152,,,
21,0.048339544,3.699877021,0.069518717,0.312834225,0.479946524,3.931201329,0.050606061,0.137878789,0.311818182,,,
22,0.048179633,3.722225551,0.077540107,0.286096257,0.471925134,3.798971754,0.046666667,0.162121212,0.366363636,,,
23,0.048012661,3.66550694,0.081550802,0.288770053,0.487967914,3.87546906,0.070606061,0.192424243,0.33,,,
24,0.04783868,3.669098937,0.069518717,0.294117647,0.495989305,3.991342532,0.074545455,0.101515152,0.275454545,,,
25,0.047657742,3.651972622,0.090909091,0.303475936,0.512032086,3.949285519,0.062424243,0.180303031,0.323939394,,,
26,0.047469902,3.59499044,0.089572193,0.330213904,0.502673797,3.825355515,0.034848485,0.210606061,0.402727273,,,
27,0.047275218,3.5476589,0.094919786,0.346256684,0.545454546,3.897542296,0.052727273,0.162121212,0.372424243,,,
28,0.047073748,3.561253712,0.080213904,0.334224599,0.537433155,3.648725998,0.036969697,0.222727273,0.408787879,,,
29,0.046865555,3.524729664,0.092245989,0.343582888,0.52540107,3.628539671,0.060909091,0.246969697,0.469393939,,,
30,0.046650702,3.481734139,0.106951872,0.364973262,0.549465241,4.116923997,0.086666667,0.11969697,0.257272728,,,
31,0.046429254,3.444422927,0.092245989,0.363636364,0.576203209,3.678137973,0.055151515,0.222727273,0.426969697,,,
32,0.046201278,3.56036142,0.077540107,0.330213904,0.52540107,3.868734753,0.046969697,0.18030303,0.378484849,,,
33,0.045966845,3.412996765,0.117647059,0.368983957,0.564171124,4.188283782,0.068484849,0.11969697,0.305757576,,,
34,0.045726025,3.425567865,0.124331551,0.366310161,0.581550802,3.65973396,0.076969697,0.22878788,0.445151515,,,
35,0.045478892,3.391024727,0.136363636,0.385026738,0.590909091,3.510126264,0.07939394,0.283333334,0.457272728,,,
36,0.04522552,3.322676507,0.117647059,0.427807487,0.61631016,3.879018434,0.080909091,0.174242425,0.342121212,,,
37,0.044965988,3.350624018,0.122994652,0.393048128,0.614973262,3.790075871,0.094848485,0.198484849,0.396666667,,,
38,0.044700375,3.323108519,0.143048128,0.414438503,0.604278075,3.68133918,0.074848485,0.253030303,0.445151515,,,
39,0.04442876,3.254183258,0.143048128,0.435828877,0.616310161,3.747663056,0.106666667,0.210606061,0.366363637,,,
40,0.044151228,3.30833032,0.139037433,0.438502674,0.640374332,3.67374006,0.096969697,0.25909091,0.414848486,,,
41,0.043867862,3.249855643,0.140374332,0.45855615,0.652406418,3.594463374,0.103030303,0.240909092,0.46939394,,,
42,0.043578749,3.380331447,0.125668449,0.390374332,0.585561497,3.928033975,0.080909091,0.298484849,0.417878789,,,
43,0.043283977,3.243308729,0.137700535,0.462566845,0.63368984,3.518010784,0.061212121,0.225454546,0.487575758,,,
44,0.042983635,3.212564157,0.135026738,0.445187166,0.660427807,3.464032378,0.101515152,0.353939395,0.451212122,,,
45,0.042677816,3.132535862,0.159090909,0.479946524,0.679144385,3.837406541,0.116969697,0.298484849,0.405757576,,,
46,0.042366612,3.19695494,0.1671123,0.470588235,0.656417113,3.694217789,0.118787879,0.316666667,0.496969697,,,
47,0.042050118,3.15675971,0.160427808,0.475935829,0.671122995,3.585093465,0.129393939,0.35909091,0.473030304,,,
48,0.041728431,3.181743984,0.157754011,0.455882353,0.648395722,3.71656648,0.101212121,0.334848486,0.500909091,,,
49,0.041401648,3.067921746,0.181818182,0.502673797,0.669786097,4.147563102,0.144545455,0.256060607,0.39969697,,,
50,0.041069869,3.09890642,0.164438503,0.494652407,0.685828878,3.579894267,0.148787879,0.383333334,0.533030303,,,
51,0.040733195,3.178708367,0.153743316,0.454545455,0.663101605,3.739860097,0.125151515,0.365151516,0.496666667,,,
52,0.040391729,3.031802642,0.185828877,0.504010696,0.709893048,3.591758503,0.13939394,0.38939394,0.533030304,,,
53,0.040045575,3.075277406,0.188502674,0.494652406,0.692513369,3.732698419,0.155151515,0.346969697,0.539090909,,,
54,0.039694837,3.046501987,0.165775401,0.494652407,0.713903744,3.718358775,0.132727273,0.353030304,0.508787879,,,
55,0.039339624,3.048352411,0.180481283,0.516042781,0.721925134,3.590952581,0.157272727,0.407575758,0.593636364,,,
56,0.038980043,2.961761327,0.193850267,0.530748663,0.729946525,3.467552866,0.169090909,0.425757576,0.593636364,,,
57,0.038616204,2.950682942,0.192513369,0.561497327,0.735294118,3.428223757,0.17939394,0.41969697,0.605757576,,,
58,0.038248217,2.963745362,0.188502674,0.546791444,0.739304813,3.568945165,0.167272727,0.431818182,0.605757576,,,
59,0.037876194,2.930103542,0.207219251,0.530748663,0.756684493,3.42156047,0.173333334,0.468181819,0.654242425,,,
60,0.03750025,2.948504401,0.205882353,0.544117647,0.731283422,3.418527545,0.213333333,0.443939395,0.623939395,,,
61,0.037120498,2.922251287,0.200534759,0.545454545,0.748663102,3.602454294,0.193030303,0.407575758,0.617878788,,,
62,0.036737054,2.907373374,0.227272727,0.542780749,0.747326204,3.335143861,0.173636364,0.486363637,0.696666667,,,
63,0.036350035,2.837510001,0.233957219,0.589572193,0.758021391,3.371962855,0.217272728,0.456060606,0.648181819,,,
64,0.035959559,2.868682443,0.212566845,0.553475936,0.752673797,3.500271341,0.19909091,0.425757576,0.587575758,,,
65,0.035565745,2.851364305,0.211229947,0.582887701,0.776737968,3.391075276,0.22939394,0.492424243,0.642121212,,,
66,0.035168713,2.787799696,0.236631016,0.585561498,0.787433155,3.364633015,0.193636364,0.498484849,0.63,,,
67,0.034768583,2.749365067,0.252673797,0.609625669,0.779411765,3.430106906,0.22939394,0.480303031,0.642121213,,,
68,0.034365478,2.71959638,0.219251337,0.628342246,0.811497327,3.551853271,0.181212122,0.443939395,0.593636364,,,
69,0.03395952,2.715721568,0.25802139,0.613636364,0.806149733,3.69838575,0.217575758,0.443939394,0.581515152,,,
70,0.033550833,2.682272525,0.279411765,0.627005348,0.804812835,3.133544538,0.226060606,0.52878788,0.726969697,,,
71,0.033139541,2.664678501,0.288770053,0.617647059,0.804812835,3.571144864,0.160909091,0.443939395,0.617878789,,,
72,0.03272577,2.719232197,0.231283423,0.610962567,0.811497326,3.293539395,0.215454546,0.504545455,0.678484849,,,
73,0.032309646,2.558601079,0.276737968,0.664438503,0.843582888,3.170294113,0.203333334,0.504545455,0.745151516,,,
74,0.031891296,2.49168083,0.307486631,0.683155081,0.840909092,2.946461958,0.294242425,0.613636364,0.781515152,,,
75,0.031470847,2.472070883,0.326203209,0.703208557,0.847593583,3.121786084,0.288181818,0.565151516,0.708787879,,,
76,0.031048426,2.523618559,0.31684492,0.67513369,0.828877005,3.23460196,0.251818183,0.577272728,0.733030303,,,
77,0.030624164,2.534293481,0.295454545,0.679144385,0.826203209,3.39832557,0.215454546,0.522727273,0.726969697,,,
78,0.030198188,2.532379468,0.28342246,0.67513369,0.838235294,3.017732249,0.276060606,0.571212122,0.76939394,,,
79,0.029770629,2.470800866,0.314171123,0.701871658,0.856951872,3.216593854,0.282121213,0.55909091,0.696666667,,,
80,0.029341618,2.410870634,0.320855615,0.721925134,0.851604279,3.277777199,0.253636364,0.540909092,0.726969698,,,
81,0.028911283,2.366873702,0.32486631,0.725935829,0.882352941,3.237776099,0.296060607,0.522727273,0.684545455,,,
82,0.028479758,2.34965983,0.344919786,0.721925134,0.860962567,3.708943445,0.205151515,0.480303031,0.581515152,,,
83,0.028047173,2.332444336,0.368983957,0.728609626,0.859625669,3.112345347,0.32030303,0.595454546,0.757272727,,,
84,0.027613659,2.260752481,0.356951872,0.760695187,0.882352941,3.200152777,0.265757576,0.577272728,0.751212121,,,
85,0.02717935,2.346585479,0.336898396,0.717914439,0.868983958,3.132953225,0.29,0.595454546,0.763333333,,,
86,0.026744377,2.14849579,0.375668449,0.795454545,0.905080214,2.839950642,0.338484849,0.637878789,0.787575758,,,
87,0.026308873,2.200163075,0.381016043,0.76737968,0.901069519,2.930872809,0.332424243,0.637878789,0.83,,,
88,0.02587297,2.173842229,0.37566845,0.780748664,0.914438503,3.175667092,0.27939394,0.565151516,0.745151516,,,
89,0.025436801,2.169236072,0.39973262,0.774064171,0.905080215,2.780479417,0.344545455,0.643939394,0.817878789,,,
90,0.0250005,2.12731915,0.409090909,0.779411765,0.895721925,3.027653312,0.326363637,0.607575758,0.769393939,,,
91,0.024564199,2.016135843,0.427807487,0.812834225,0.922459893,3.192560671,0.29,0.55909091,0.745151515,,,
92,0.02412803,2.06190472,0.375668449,0.796791444,0.919786097,2.887223663,0.402121212,0.643939395,0.805757576,,,
93,0.023692127,2.073011623,0.409090909,0.811497327,0.90909091,3.078340533,0.35969697,0.607575758,0.769393939,,,
94,0.023256623,1.931146502,0.445187166,0.830213904,0.929144385,3.207906629,0.421818182,0.607575758,0.733030303,,,
95,0.02282165,1.965737099,0.407754011,0.823529412,0.921122995,3.195292424,0.34,0.577272728,0.733030303,,,
96,0.022387341,2.071318062,0.406417112,0.78342246,0.911764706,3.099660621,0.364242424,0.61969697,0.76939394,,,
97,0.021953827,2.016161023,0.409090909,0.791443851,0.917112299,3.22268362,0.327878788,0.595454546,0.775454546,,,
98,0.021521242,1.928172272,0.421122995,0.846256685,0.926470589,2.781600354,0.388484849,0.686363636,0.848181818,,,
99,0.021089717,1.829561808,0.485294118,0.848930482,0.922459894,3.073034567,0.333939394,0.607575758,0.805757576,,,
100,0.020659382,1.818335779,0.489304813,0.851604278,0.941176471,2.78976236,0.380909092,0.662121213,0.866363636,,,
101,0.020230371,1.797544616,0.489304813,0.838235294,0.926470588,3.068671764,0.338484849,0.61969697,0.775454545,,,
102,0.019802812,1.862824947,0.475935829,0.828877006,0.927807487,2.919423034,0.308181818,0.668181819,0.817878788,,,
