instance_uid,sample_id,video_id,gloss,class_id,split,tensor_path,crop_root,preview_path,num_frames_original,num_frames_used,tensor_shape,left_hand_valid_ratio,right_hand_valid_ratio,face_valid_ratio,left_hand_current_bbox_ratio,left_hand_previous_fallback_ratio,left_hand_black_crop_ratio,right_hand_current_bbox_ratio,right_hand_previous_fallback_ratio,right_hand_black_crop_ratio,face_current_bbox_ratio,face_previous_fallback_ratio,face_black_crop_ratio,mean_left_hand_conf,mean_right_hand_conf,mean_face_conf,status,error_message,notes
wlasl:00623,00623,00623,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00623.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00623_preview.jpg,103,64,"[3, 3, 64, 112, 112]",0.953125,1.0,1.0,0.765625,0.1875,0.046875,0.984375,0.015625,0.0,1.0,0.0,0.0,4.427171342226924,5.481762272971017,8.119112469255924,ok,,end_frame_clipped_to_video_end;left_hand_fallback_limit_reached=3;left_hand_prev_bbox_fallback_frames=12;left_hand_black_frames=3;right_hand_prev_bbox_fallback_frames=1
wlasl:00624,00624,00624,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00624.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00624_preview.jpg,93,64,"[3, 3, 64, 112, 112]",0.671875,0.703125,1.0,0.5625,0.109375,0.328125,0.609375,0.09375,0.296875,1.0,0.0,0.0,5.357079254256354,5.105626904047453,7.386710606515408,ok,,left_hand_fallback_limit_reached=3;right_hand_fallback_limit_reached=3;left_hand_prev_bbox_fallback_frames=7;left_hand_black_frames=21;right_hand_prev_bbox_fallback_frames=6;right_hand_black_frames=19
wlasl:00628,00628,00628,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00628.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00628_preview.jpg,31,64,"[3, 3, 64, 112, 112]",0.0,0.984375,1.0,0.0,0.0,1.0,0.9375,0.046875,0.015625,1.0,0.0,0.0,0.0,5.37356805006663,7.59112099558115,ok,,sampled_with_repeated_indices;right_hand_fallback_limit_reached=3;left_hand_black_frames=64;right_hand_prev_bbox_fallback_frames=3;right_hand_black_frames=1
wlasl:00629,00629,00629,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00629.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00629_preview.jpg,126,64,"[3, 3, 64, 112, 112]",0.859375,0.875,1.0,0.859375,0.0,0.140625,0.875,0.0,0.125,1.0,0.0,0.0,6.390883675488559,6.26649010181427,7.935117594897747,ok,,left_hand_black_frames=9;right_hand_black_frames=8
wlasl:00631,00631,00631,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00631.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00631_preview.jpg,64,64,"[3, 3, 64, 112, 112]",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.699859946966171,6.936459563672543,7.992317847907543,ok,,
wlasl:00632,00632,00632,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00632.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00632_preview.jpg,48,64,"[3, 3, 64, 112, 112]",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.251304097473621,5.521432399749756,7.496588319540024,ok,,sampled_with_repeated_indices
wlasl:00633,00633,00633,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00633.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00633_preview.jpg,23,64,"[3, 3, 64, 112, 112]",0.25,1.0,1.0,0.25,0.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,2.0845300555229187,4.431538447737694,6.587904617190361,ok,,sampled_with_repeated_indices;left_hand_black_frames=48
wlasl:00639,00639,00639,accident,51,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/00639.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/00639_preview.jpg,89,64,"[3, 3, 64, 112, 112]",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.965503543615341,5.146311856806278,7.741582274436951,ok,,
wlasl:01383,01383,01383,africa,76,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/01383.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/01383_preview.jpg,124,64,"[3, 3, 64, 112, 112]",0.09375,0.5,1.0,0.078125,0.015625,0.90625,0.5,0.0,0.5,1.0,0.0,0.0,1.1266168355941772,5.018002528697252,7.615207828581333,ok,,left_hand_prev_bbox_fallback_frames=1;left_hand_black_frames=58;right_hand_black_frames=32
wlasl:01384,01384,01384,africa,76,train,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/tensors/nslt100/train/01384.npz,,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/regions/rtmw_l/previews/nslt100/train/01384_preview.jpg,56,64,"[3, 3, 64, 112, 112]",1.0,1.0,1.0,1.0,0.0,0.0,0.96875,0.03125,0.0,1.0,0.0,0.0,6.481291010975838,5.538577602755639,7.87980255484581,ok,,sampled_with_repeated_indices;right_hand_prev_bbox_fallback_frames=2
