instance_uid,sample_id,video_id,gloss,class_id,split,pose_path,selected_path,normalized_path,graph_tensor_path,source_layout,keypoint_set,selected_indices,num_frames_original,num_frames_output,num_source_keypoints,num_selected_keypoints,num_channels,num_persons,tensor_shape,confidence_scale,xy_normalization,status,error_message,notes
wlasl:10017,10017,10017,character,839,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10017.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10017.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10017.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10017.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",33,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,kaggle_bundle_frames_dir_rewritten;merged_from_target_remaining_pose
wlasl:10102,10102,10102,chat,191,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10102.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10102.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10102.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10102.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",64,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,end_frame_clipped_to_video_end;merged_from_done_subset_pose;copied_from_done_subset
wlasl:10111,10111,10111,chat,191,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10111.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10111.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10111.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10111.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",33,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,merged_from_done_subset_pose;copied_from_done_subset
wlasl:10159,10159,10159,cheat,81,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10159.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10159.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10159.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10159.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",49,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,merged_from_done_subset_pose;copied_from_done_subset
wlasl:10186,10186,10186,check,109,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10186.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10186.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10186.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10186.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",73,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,merged_from_done_subset_pose;copied_from_done_subset
wlasl:10268,10268,10268,cheese,268,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10268.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10268.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10268.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10268.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",67,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,merged_from_done_subset_pose;copied_from_done_subset
wlasl:10446,10446,10446,child,370,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10446.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10446.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10446.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10446.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",29,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,end_frame_clipped_to_video_end;kaggle_bundle_frames_dir_rewritten;merged_from_target_remaining_pose
wlasl:10583,10583,10583,chocolate,501,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10583.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10583.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10583.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10583.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",52,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,kaggle_bundle_frames_dir_rewritten;merged_from_target_remaining_pose
wlasl:10591,10591,10591,choice,668,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10591.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10591.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10591.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10591.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",41,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,end_frame_clipped_to_video_end;kaggle_bundle_frames_dir_rewritten;merged_from_target_remaining_pose
wlasl:10641,10641,10641,choose,371,test,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/pose/rtmw_l/wholebody_133/nslt1000/test/10641.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/selected_31/nslt1000/test/10641.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/normalized/selected_31/nslt1000/test/10641.npz,F:/DMV/Recognizing-sign-language-at-the-word-level/data/datasets/WLASL/branch_inputs/skeleton/rtmw_l/graph_tensors/selected_31/nslt1000/test/10641.npz,wholebody_133,selected_31,"[0, 5, 6, 7, 8, 9, 10, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 71, 77, 74, 80]",76,150,133,31,3,1,"[3, 150, 31, 1]",8.579624652862549,"clip_to_[0,288]x[0,384]_then_scale_to_[-1,1]",ok,,kaggle_bundle_frames_dir_rewritten;merged_from_target_remaining_pose
